Timestamp,Scenario,IP,Status,Duration
2026-01-17T12:36:54.447Z,Rate-Limit-Login,::ffff:172.19.0.2,401,261ms
2026-01-17T12:36:54.457Z,Rate-Limit-Login,::ffff:172.19.0.5,401,218ms
2026-01-17T12:36:54.464Z,Rate-Limit-Login,::ffff:172.19.0.3,401,219ms
2026-01-17T12:36:59.506Z,Rate-Limit-Login,::ffff:172.19.0.2,401,30ms
2026-01-17T12:36:59.511Z,Rate-Limit-Login,::ffff:172.19.0.3,401,17ms
2026-01-17T12:36:59.520Z,Rate-Limit-Login,::ffff:172.19.0.5,401,30ms
2026-01-17T12:37:04.598Z,Rate-Limit-Login,::ffff:172.19.0.5,401,46ms
2026-01-17T12:37:04.607Z,Rate-Limit-Login,::ffff:172.19.0.3,401,18ms
2026-01-17T12:37:04.614Z,Rate-Limit-Login,::ffff:172.19.0.2,401,18ms
2026-01-17T12:37:10.691Z,Rate-Limit-Login,::ffff:172.19.0.5,401,6ms
2026-01-17T12:37:10.747Z,Rate-Limit-Login,::ffff:172.19.0.3,401,36ms
2026-01-17T12:37:10.758Z,Rate-Limit-Login,::ffff:172.19.0.2,401,38ms
2026-01-17T12:37:15.724Z,Rate-Limit-Login,::ffff:172.19.0.5,401,5ms
2026-01-17T12:37:15.784Z,Rate-Limit-Login,::ffff:172.19.0.3,401,9ms
2026-01-17T12:37:15.797Z,Rate-Limit-Login,::ffff:172.19.0.2,401,5ms
2026-01-17T12:37:20.742Z,Rate-Limit-Login,::ffff:172.19.0.5,429,2ms
2026-01-17T12:37:20.817Z,Rate-Limit-Login,::ffff:172.19.0.3,429,14ms
2026-01-17T12:37:20.854Z,Rate-Limit-Login,::ffff:172.19.0.2,429,2ms
2026-01-17T12:37:25.772Z,Rate-Limit-Login,::ffff:172.19.0.5,429,3ms
2026-01-17T12:37:25.841Z,Rate-Limit-Login,::ffff:172.19.0.3,429,1ms
2026-01-17T12:37:25.875Z,Rate-Limit-Login,::ffff:172.19.0.2,429,1ms
2026-01-17T12:37:31.037Z,Rate-Limit-Login,::ffff:172.19.0.5,401,185
2026-01-17T12:37:31.073Z,Rate-Limit-Login,::ffff:172.19.0.2,401,109
2026-01-17T12:37:31.077Z,Rate-Limit-Login,::ffff:172.19.0.3,401,154
2026-01-17T12:37:36.071Z,Rate-Limit-Login,::ffff:172.19.0.5,401,6
2026-01-17T12:37:36.096Z,Rate-Limit-Login,::ffff:172.19.0.2,401,10
2026-01-17T12:37:36.112Z,Rate-Limit-Login,::ffff:172.19.0.3,401,8
2026-01-17T12:37:42.276Z,Rate-Limit-Login,::ffff:172.19.0.5,401,7
2026-01-17T12:37:42.297Z,Rate-Limit-Login,::ffff:172.19.0.2,401,5
