Timestamp,Scenario,IP,Status,Duration_ms,CPU_ms,Memory_MB
2026-02-12T02:50:44.771Z,Basic-Login,unknown,400,4,15.57,134.60
2026-02-12T02:50:44.853Z,Rate-Limit-Login,unknown,400,1,4.55,140.10
2026-02-12T02:50:44.880Z,Rate-Limit-Login,unknown,400,2,10.86,133.97
2026-02-12T02:50:45.085Z,Basic-Login,unknown,400,2,5.86,140.83
2026-02-12T02:50:45.412Z,Rate-Limit-Login,::ffff:192.168.107.9,429,402,1719.01,154.65
2026-02-12T02:50:45.415Z,Rate-Limit-Login,::ffff:192.168.107.9,429,422,1790.04,154.74
2026-02-12T02:50:45.416Z,Rate-Limit-Login,::ffff:192.168.107.9,429,416,1767.83,154.80
2026-02-12T02:50:45.417Z,Rate-Limit-Login,::ffff:192.168.107.9,429,428,1811.66,154.86
2026-02-12T02:50:45.417Z,Rate-Limit-Login,::ffff:192.168.107.9,429,436,1836.47,154.92
2026-02-12T02:50:45.418Z,Rate-Limit-Login,::ffff:192.168.107.9,429,449,1890.96,154.97
2026-02-12T02:50:45.419Z,Rate-Limit-Login,::ffff:192.168.107.9,429,459,1930.42,155.03
2026-02-12T02:50:45.419Z,Rate-Limit-Login,::ffff:192.168.107.9,429,466,1952.70,155.33
2026-02-12T02:50:45.420Z,Rate-Limit-Login,::ffff:192.168.107.9,429,473,1981.03,155.39
2026-02-12T02:50:45.420Z,Rate-Limit-Login,::ffff:192.168.107.9,429,484,2033.30,155.45
2026-02-12T02:50:45.424Z,Rate-Limit-Login,::ffff:192.168.107.5,429,706,2906.40,155.76
2026-02-12T02:50:45.425Z,Rate-Limit-Login,::ffff:192.168.107.5,429,703,2887.97,155.81
2026-02-12T02:50:45.425Z,Rate-Limit-Login,::ffff:192.168.107.5,429,724,2965.86,155.87
2026-02-12T02:50:45.426Z,Rate-Limit-Login,::ffff:192.168.107.5,429,737,3010.05,155.93
2026-02-12T02:50:45.426Z,Rate-Limit-Login,::ffff:192.168.107.5,429,751,3056.50,155.99
2026-02-12T02:50:45.427Z,Rate-Limit-Login,::ffff:192.168.107.5,429,763,3100.43,156.04
2026-02-12T02:50:45.427Z,Rate-Limit-Login,::ffff:192.168.107.5,429,759,3084.76,156.10
2026-02-12T02:50:45.428Z,Rate-Limit-Login,::ffff:192.168.107.5,429,785,3195.30,156.16
2026-02-12T02:50:45.428Z,Rate-Limit-Login,::ffff:192.168.107.5,429,777,3161.11,156.21
2026-02-12T02:50:45.430Z,Rate-Limit-Login,::ffff:192.168.107.19,429,845,3428.08,156.34
2026-02-12T02:50:45.431Z,Rate-Limit-Login,::ffff:192.168.107.5,429,839,3402.99,156.39
2026-02-12T02:50:45.431Z,Rate-Limit-Login,::ffff:192.168.107.19,429,865,3507.83,156.45
2026-02-12T02:50:45.432Z,Rate-Limit-Login,::ffff:192.168.107.19,429,877,3554.83,156.51
2026-02-12T02:50:45.433Z,Rate-Limit-Login,::ffff:192.168.107.19,429,872,3525.36,156.57
2026-02-12T02:50:45.433Z,Rate-Limit-Login,::ffff:192.168.107.19,429,885,3578.05,156.62
2026-02-12T02:50:45.441Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1028,4152.57,160.81
2026-02-12T02:50:45.444Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1038,4184.32,160.90
2026-02-12T02:50:45.445Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1046,4216.85,160.95
2026-02-12T02:50:45.446Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1055,4251.09,161.07
2026-02-12T02:50:45.446Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1064,4282.62,161.13
2026-02-12T02:50:45.447Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1080,4373.78,161.19
2026-02-12T02:50:45.448Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1093,4429.33,161.24
2026-02-12T02:50:45.449Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1117,4521.92,161.36
2026-02-12T02:50:45.449Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1140,4609.22,161.42
2026-02-12T02:50:45.450Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1138,4599.16,161.48
2026-02-12T02:50:45.454Z,Rate-Limit-Login,::ffff:192.168.107.17,429,1335,5384.95,161.86
2026-02-12T02:50:45.455Z,Rate-Limit-Login,::ffff:192.168.107.17,429,1343,5406.56,162.16
2026-02-12T02:50:45.456Z,Rate-Limit-Login,::ffff:192.168.107.17,429,1356,5450.26,162.22
2026-02-12T02:50:45.457Z,Rate-Limit-Login,::ffff:192.168.107.17,429,1353,5441.45,162.27
2026-02-12T02:50:45.458Z,Rate-Limit-Login,::ffff:192.168.107.17,429,1366,5478.05,162.33
2026-02-12T02:50:45.458Z,Rate-Limit-Login,::ffff:192.168.107.13,401,1882,6421.25,162.39
2026-02-12T02:50:45.459Z,Rate-Limit-Login,::ffff:192.168.107.13,401,1877,6416.15,162.45
2026-02-12T02:50:45.459Z,Rate-Limit-Login,::ffff:192.168.107.13,401,1872,6407.90,162.50
2026-02-12T02:50:45.459Z,Rate-Limit-Login,::ffff:192.168.107.13,401,1865,6394.32,162.56
2026-02-12T02:50:45.460Z,Rate-Limit-Login,::ffff:192.168.107.13,429,1860,6385.07,162.65
2026-02-12T02:50:45.461Z,Rate-Limit-Login,::ffff:192.168.107.13,429,1858,6380.18,162.71
2026-02-12T02:50:45.461Z,Rate-Limit-Login,::ffff:192.168.107.13,429,1854,6375.34,162.76
2026-02-12T02:50:45.462Z,Rate-Limit-Login,::ffff:192.168.107.13,429,1853,6373.66,162.82
2026-02-12T02:50:45.462Z,Rate-Limit-Login,::ffff:192.168.107.13,429,1850,6368.23,162.88
2026-02-12T02:50:45.463Z,Rate-Limit-Login,::ffff:192.168.107.11,401,1815,6310.42,162.97
2026-02-12T02:50:45.463Z,Rate-Limit-Login,::ffff:192.168.107.11,401,1813,6308.84,163.02
2026-02-12T02:50:45.464Z,Rate-Limit-Login,::ffff:192.168.107.11,401,1812,6306.76,163.08
2026-02-12T02:50:45.464Z,Rate-Limit-Login,::ffff:192.168.107.11,401,1809,6304.61,163.14
2026-02-12T02:50:45.464Z,Rate-Limit-Login,::ffff:192.168.107.11,429,1807,6302.93,163.19
2026-02-12T02:50:45.465Z,Rate-Limit-Login,::ffff:192.168.107.11,429,1802,6286.36,163.25
2026-02-12T02:50:45.465Z,Rate-Limit-Login,::ffff:192.168.107.11,429,1800,6284.66,163.31
2026-02-12T02:50:45.466Z,Rate-Limit-Login,::ffff:192.168.107.11,429,1798,6282.69,163.37
2026-02-12T02:50:45.466Z,Rate-Limit-Login,::ffff:192.168.107.11,429,1796,6279.95,163.42
2026-02-12T02:50:45.468Z,Rate-Limit-Login,::ffff:192.168.107.9,429,1759,6233.10,163.64
2026-02-12T02:50:45.468Z,Rate-Limit-Login,::ffff:192.168.107.9,429,1757,6230.79,163.94
2026-02-12T02:50:45.469Z,Rate-Limit-Login,::ffff:192.168.107.9,429,1756,6228.70,164.00
2026-02-12T02:50:45.469Z,Rate-Limit-Login,::ffff:192.168.107.9,429,1754,6227.18,164.05
2026-02-12T02:50:45.470Z,Rate-Limit-Login,::ffff:192.168.107.9,429,1753,6225.75,164.11
2026-02-12T02:50:45.470Z,Rate-Limit-Login,::ffff:192.168.107.7,401,1724,6183.56,164.17
2026-02-12T02:50:45.472Z,Rate-Limit-Login,::ffff:192.168.107.7,429,1713,6173.79,164.35
2026-02-12T02:50:45.473Z,Rate-Limit-Login,::ffff:192.168.107.7,429,1713,6173.05,164.41
2026-02-12T02:50:45.473Z,Rate-Limit-Login,::ffff:192.168.107.7,429,1711,6172.07,164.46
2026-02-12T02:50:45.474Z,Rate-Limit-Login,::ffff:192.168.107.7,429,1711,6171.60,164.52
2026-02-12T02:50:45.474Z,Rate-Limit-Login,::ffff:192.168.107.7,429,1710,6170.69,164.58
2026-02-12T02:50:45.476Z,Rate-Limit-Login,::ffff:192.168.107.5,429,1682,6135.61,164.79
2026-02-12T02:50:45.477Z,Rate-Limit-Login,::ffff:192.168.107.5,429,1680,6131.88,164.85
2026-02-12T02:50:45.477Z,Rate-Limit-Login,::ffff:192.168.107.5,429,1677,6127.98,164.90
2026-02-12T02:50:45.478Z,Rate-Limit-Login,::ffff:192.168.107.5,429,1675,6125.54,164.96
2026-02-12T02:50:45.478Z,Rate-Limit-Login,::ffff:192.168.107.5,429,1674,6125.84,165.02
2026-02-12T02:50:45.480Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1646,6092.49,165.23
2026-02-12T02:50:45.481Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1642,6083.87,165.29
2026-02-12T02:50:45.481Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1640,6081.06,165.34
2026-02-12T02:50:45.482Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1640,6080.22,165.65
2026-02-12T02:50:45.482Z,Rate-Limit-Login,::ffff:192.168.107.3,429,1638,6079.01,165.70
2026-02-12T02:50:45.484Z,Rate-Limit-Login,::ffff:192.168.107.15,429,1505,5809.27,165.98
2026-02-12T02:50:45.485Z,Rate-Limit-Login,::ffff:192.168.107.15,429,1502,5800.45,166.03
2026-02-12T02:50:45.486Z,Rate-Limit-Login,::ffff:192.168.107.15,429,1499,5796.60,166.09
2026-02-12T02:50:45.486Z,Rate-Limit-Login,::ffff:192.168.107.15,429,1497,5789.22,166.15
2026-02-12T02:50:45.487Z,Rate-Limit-Login,::ffff:192.168.107.15,429,1494,5779.89,166.20
2026-02-12T02:50:45.496Z,Basic-Login,::ffff:192.168.107.14,401,1991,6589.03,158.24
2026-02-12T02:50:45.496Z,Basic-Login,::ffff:192.168.107.14,401,1989,6586.74,158.30
2026-02-12T02:50:45.500Z,Basic-Login,::ffff:192.168.107.12,401,1861,6380.23,158.71
2026-02-12T02:50:45.501Z,Basic-Login,::ffff:192.168.107.12,401,1859,6377.63,158.81
