Timestamp,Scenario,IP,Status,Duration_ms,CPU_ms,Memory_MB,Run
2026-03-01T19:57:37.333Z,Captcha-Login,54.141.200.76,403,474,1065.58,76.66,1
2026-03-01T19:57:37.338Z,Captcha-Login,222.148.21.151,403,470,1076.80,76.75,1
2026-03-01T19:57:37.363Z,Captcha-Login,14.206.83.160,403,466,1097.83,73.36,1
2026-03-01T19:57:37.364Z,Captcha-Login,79.114.62.19,403,463,1092.75,73.68,1
2026-03-01T19:57:37.365Z,Captcha-Login,184.95.35.42,403,479,1118.03,73.75,1
2026-03-01T19:57:37.368Z,Captcha-Login,8.22.227.73,403,474,1115.18,73.82,1
2026-03-01T19:57:37.369Z,Captcha-Login,158.37.92.233,403,487,1138.36,73.89,1
2026-03-01T19:57:37.370Z,Captcha-Login,44.196.240.234,403,479,1125.35,73.96,1
2026-03-01T19:57:37.371Z,Captcha-Login,253.43.183.254,403,464,1105.85,74.03,1
2026-03-01T19:57:37.388Z,Captcha-Login,204.161.234.66,403,510,1176.49,76.58,1
2026-03-01T19:57:37.471Z,Captcha-Login,38.19.71.114,403,124,166.21,70.06,1
2026-03-01T19:57:37.480Z,Captcha-Login,27.79.80.213,403,154,264.36,70.69,1
2026-03-01T19:57:37.485Z,Captcha-Login,14.206.83.160,403,110,123.92,71.37,1
2026-03-01T19:57:37.499Z,Captcha-Login,212.207.148.55,403,195,393.69,73.67,1
2026-03-01T19:57:37.501Z,Captcha-Login,49.132.136.49,403,141,172.64,73.93,1
2026-03-01T19:57:37.504Z,Captcha-Login,243.19.18.75,403,109,88.03,74.21,1
2026-03-01T19:57:37.532Z,Captcha-Login,140.161.165.153,403,123,60.42,76.49,1
2026-03-01T19:57:37.538Z,Captcha-Login,127.173.70.238,403,138,90.06,77.47,1
2026-03-01T19:57:37.544Z,Captcha-Login,54.141.200.76,403,157,153.51,78.45,1
2026-03-01T19:57:37.551Z,Captcha-Login,42.94.193.153,403,167,165.45,79.46,1
2026-03-01T19:57:37.594Z,Captcha-Login,1.182.149.11,403,110,71.95,80.45,1
2026-03-01T19:57:37.627Z,Captcha-Login,182.20.159.237,403,114,51.48,82.06,1
2026-03-01T19:57:37.629Z,Captcha-Login,31.97.38.32,403,122,59.88,82.18,1
2026-03-01T19:57:37.641Z,Captcha-Login,18.233.209.245,403,149,88.06,84.30,1
2026-03-01T19:57:37.642Z,Captcha-Login,29.244.1.92,403,131,69.53,84.42,1
2026-03-01T19:57:37.649Z,Captcha-Login,171.240.45.170,403,99,47.27,85.31,1
2026-03-01T19:57:37.650Z,Captcha-Login,93.227.180.19,403,156,95.82,85.68,1
2026-03-01T19:57:37.656Z,Captcha-Login,229.13.116.123,403,119,69.79,86.33,1
2026-03-01T19:57:37.675Z,Captcha-Login,79.114.62.19,403,132,89.43,80.06,1
2026-03-01T19:57:37.698Z,Captcha-Login,204.161.234.66,403,142,82.41,81.07,1
2026-03-01T19:57:37.708Z,Captcha-Login,29.244.1.92,403,109,80.82,81.80,1
2026-03-01T19:57:37.786Z,Captcha-Login,107.37.138.81,403,148,74.53,82.88,1
2026-03-01T19:57:37.788Z,Captcha-Login,158.37.92.233,403,154,80.18,83.10,1
2026-03-01T19:57:37.790Z,Captcha-Login,100.86.66.28,403,135,58.73,83.22,1
2026-03-01T19:57:37.798Z,Captcha-Login,231.156.17.187,403,95,25.69,84.30,1
2026-03-01T19:57:37.805Z,Captcha-Login,158.37.92.233,403,138,62.75,85.35,1
2026-03-01T19:57:37.812Z,Captcha-Login,231.156.17.187,403,150,78.23,87.31,1
2026-03-01T19:57:37.813Z,Captcha-Login,70.198.231.120,403,165,94.62,87.42,1
2026-03-01T19:57:37.821Z,Captcha-Login,187.237.197.186,403,157,87.16,88.72,1
2026-03-01T19:57:37.822Z,Captcha-Login,253.43.183.254,403,109,47.39,88.84,1
2026-03-01T19:57:37.842Z,Captcha-Login,197.188.16.204,403,162,95.22,85.59,1
2026-03-01T19:57:37.948Z,Captcha-Login,204.161.234.66,403,111,97.80,74.05,1
2026-03-01T19:57:37.950Z,Captcha-Login,184.95.35.42,403,153,145.73,74.18,1
2026-03-01T19:57:37.951Z,Captcha-Login,167.40.119.37,403,147,138.75,74.30,1
2026-03-01T19:57:37.953Z,Captcha-Login,127.173.70.238,403,121,107.19,74.43,1
2026-03-01T19:57:37.974Z,Captcha-Login,93.227.180.19,403,153,142.09,78.13,1
2026-03-01T19:57:37.976Z,Captcha-Login,197.188.16.204,403,165,155.38,78.36,1
2026-03-01T19:57:37.977Z,Captcha-Login,107.37.138.81,403,150,136.91,78.49,1
